Relative_x,Smoothed_lq6,Std_lq6
1.900000000000311218e+00,7.191148482825905353e-01,1.229435423205978151e-01
2.000000000000312639e+00,7.216465711767153790e-01,1.227377003882144380e-01
2.100000000000314060e+00,7.240822623810094782e-01,1.201789155052076646e-01
2.200000000000315481e+00,7.264650374144189238e-01,1.217013697453282611e-01
2.300000000000316902e+00,7.288403208145088907e-01,1.206073602207136247e-01
2.400000000000318323e+00,7.312561759623051882e-01,1.233332663328770146e-01
2.500000000000319744e+00,7.337622854528442762e-01,1.231077641847473231e-01
2.600000000000321165e+00,7.364070051959934471e-01,1.297144378122506991e-01
2.700000000000322586e+00,7.392320245086603236e-01,1.232487880836333621e-01
2.800000000000324007e+00,7.422646818873641639e-01,1.173476189439738165e-01
2.900000000000325429e+00,7.455090457312905095e-01,1.146110622669504059e-01
3.000000000000326850e+00,7.489382781582452075e-01,1.137432184068243174e-01
3.100000000000328271e+00,7.524918015865446064e-01,1.107870639934961654e-01
3.200000000000329692e+00,7.560802559079298213e-01,1.122300211598716846e-01
3.300000000000331113e+00,7.595985915731396920e-01,1.056214695237773227e-01
3.400000000000332534e+00,7.629439101759087904e-01,1.080053923540208877e-01
3.500000000000333955e+00,7.660322182394636581e-01,1.099598488432100285e-01
3.600000000000335376e+00,7.688089017827948179e-01,1.053681586195155673e-01
3.700000000000336797e+00,7.712509375632332631e-01,1.058180130417659959e-01
3.800000000000338218e+00,7.733623319104858673e-01,1.093314436551072605e-01
3.900000000000339639e+00,7.751660781486235940e-01,1.033452809171446357e-01
4.000000000000341061e+00,7.766957605440369949e-01,9.678444853909930201e-02
4.100000000000342482e+00,7.779887153167169833e-01,9.539550650301693857e-02
4.200000000000343903e+00,7.790813907644414948e-01,9.238123843139804670e-02
4.300000000000345324e+00,7.800067286794087895e-01,8.994208179994150898e-02
4.400000000000346745e+00,7.807930508348878140e-01,8.887787233889248018e-02
4.500000000000348166e+00,7.814639086035356508e-01,8.905581594201503193e-02
4.600000000000349587e+00,7.820384661348889210e-01,9.169085070481000632e-02
4.700000000000351008e+00,7.825321275985862579e-01,9.312915831494869567e-02
4.800000000000352429e+00,7.829572373636047855e-01,9.217324413481313428e-02
4.900000000000353850e+00,7.833237660110918821e-01,9.259236050504120186e-02
5.000000000000355271e+00,7.836399484087759326e-01,9.098950912148408288e-02
5.100000000000356692e+00,7.839128707324934942e-01,8.837447890526931027e-02
5.200000000000358114e+00,7.841490183768935474e-01,8.698537681274058631e-02
5.300000000000359535e+00,7.843548004367263404e-01,8.770403770122063569e-02
5.400000000000360956e+00,7.845370600103401815e-01,8.922426730865289091e-02
5.500000000000362377e+00,7.847035613072544935e-01,9.162125078272947976e-02
5.600000000000363798e+00,7.848634111425784043e-01,9.409521028863623848e-02
